station,year,month,wdsp
KNOCK AIRPORT,1996,8,8.3
KNOCK AIRPORT,1996,12,9.4
KNOCK AIRPORT,1997,1,8.0
KNOCK AIRPORT,1997,2,15.0
KNOCK AIRPORT,1997,3,11.3
KNOCK AIRPORT,1997,4,7.8
KNOCK AIRPORT,1997,5,8.5
KNOCK AIRPORT,1997,6,9.9
KNOCK AIRPORT,1997,7,8.6
KNOCK AIRPORT,1997,8,9.0
KNOCK AIRPORT,1997,9,9.3
KNOCK AIRPORT,1997,10,8.5
KNOCK AIRPORT,1997,11,9.0
KNOCK AIRPORT,1997,12,11.5
KNOCK AIRPORT,1998,1,10.7
KNOCK AIRPORT,1998,2,13.0
KNOCK AIRPORT,1998,3,9.2
KNOCK AIRPORT,1998,4,9.2
KNOCK AIRPORT,1998,5,8.2
KNOCK AIRPORT,1998,6,8.7
KNOCK AIRPORT,1998,7,9.8
KNOCK AIRPORT,1998,8,10.1
KNOCK AIRPORT,1998,9,9.4
KNOCK AIRPORT,1998,10,11.0
KNOCK AIRPORT,1998,11,10.8
KNOCK AIRPORT,1998,12,10.9
KNOCK AIRPORT,1999,1,11.5
KNOCK AIRPORT,1999,2,12.2
KNOCK AIRPORT,1999,3,11.3
KNOCK AIRPORT,1999,4,12.0
KNOCK AIRPORT,1999,5,9.6
KNOCK AIRPORT,1999,6,8.3
KNOCK AIRPORT,1999,7,8.9
KNOCK AIRPORT,1999,8,8.3
KNOCK AIRPORT,1999,9,9.7
KNOCK AIRPORT,1999,10,10.2
KNOCK AIRPORT,1999,11,8.5
KNOCK AIRPORT,1999,12,11.9
KNOCK AIRPORT,2000,1,10.8
KNOCK AIRPORT,2000,2,13.8
KNOCK AIRPORT,2000,3,9.5
KNOCK AIRPORT,2000,4,9.8
KNOCK AIRPORT,2000,5,9.3
KNOCK AIRPORT,2000,6,9.1
KNOCK AIRPORT,2000,7,7.7
KNOCK AIRPORT,2000,8,7.1
KNOCK AIRPORT,2000,9,8.1
KNOCK AIRPORT,2000,10,12.0
KNOCK AIRPORT,2000,11,11.6
KNOCK AIRPORT,2000,12,10.0
KNOCK AIRPORT,2001,1,9.2
KNOCK AIRPORT,2001,2,9.2
KNOCK AIRPORT,2001,3,10.4
KNOCK AIRPORT,2001,4,9.9
KNOCK AIRPORT,2001,5,8.0
KNOCK AIRPORT,2001,6,8.8
KNOCK AIRPORT,2001,7,8.7
KNOCK AIRPORT,2001,8,7.8
KNOCK AIRPORT,2001,9,9.6
KNOCK AIRPORT,2001,10,10.9
KNOCK AIRPORT,2001,11,8.6
KNOCK AIRPORT,2001,12,9.3
KNOCK AIRPORT,2002,1,12.5
KNOCK AIRPORT,2002,2,14.4
KNOCK AIRPORT,2002,3,10.6
KNOCK AIRPORT,2002,4,10.7
KNOCK AIRPORT,2002,5,9.5
KNOCK AIRPORT,2002,6,10.8
KNOCK AIRPORT,2002,7,8.2
KNOCK AIRPORT,2002,8,7.7
KNOCK AIRPORT,2002,9,7.4
KNOCK AIRPORT,2002,10,8.6
KNOCK AIRPORT,2002,11,10.5
KNOCK AIRPORT,2002,12,9.4
KNOCK AIRPORT,2003,1,12.0
KNOCK AIRPORT,2003,2,11.6
KNOCK AIRPORT,2003,3,9.6
KNOCK AIRPORT,2003,4,9.1
KNOCK AIRPORT,2003,5,10.6
KNOCK AIRPORT,2003,6,9.1
KNOCK AIRPORT,2003,7,8.8
KNOCK AIRPORT,2003,8,7.0
KNOCK AIRPORT,2003,9,7.7
KNOCK AIRPORT,2003,10,9.0
KNOCK AIRPORT,2003,11,10.8
KNOCK AIRPORT,2003,12,9.1
KNOCK AIRPORT,2004,1,9.9
KNOCK AIRPORT,2004,2,9.1
KNOCK AIRPORT,2004,3,11.6
KNOCK AIRPORT,2004,4,10.7
KNOCK AIRPORT,2004,5,8.9
KNOCK AIRPORT,2004,6,10.1
KNOCK AIRPORT,2004,7,8.1
KNOCK AIRPORT,2004,8,8.2
KNOCK AIRPORT,2004,9,11.2
KNOCK AIRPORT,2004,10,8.6
KNOCK AIRPORT,2004,11,9.2
KNOCK AIRPORT,2004,12,11.4
KNOCK AIRPORT,2005,1,13.8
KNOCK AIRPORT,2005,2,9.2
KNOCK AIRPORT,2005,3,9.7
KNOCK AIRPORT,2005,4,9.7
KNOCK AIRPORT,2005,5,9.4
KNOCK AIRPORT,2005,6,8.6
KNOCK AIRPORT,2005,7,7.7
KNOCK AIRPORT,2005,8,8.2
KNOCK AIRPORT,2005,9,9.7
KNOCK AIRPORT,2005,10,10.1
KNOCK AIRPORT,2005,11,9.6
KNOCK AIRPORT,2005,12,8.9
KNOCK AIRPORT,2006,1,9.7
KNOCK AIRPORT,2006,2,8.4
KNOCK AIRPORT,2006,3,9.6
KNOCK AIRPORT,2006,4,9.4
KNOCK AIRPORT,2006,5,10.0
KNOCK AIRPORT,2006,6,7.6
KNOCK AIRPORT,2006,7,7.5
KNOCK AIRPORT,2006,8,8.8
KNOCK AIRPORT,2006,9,9.0
KNOCK AIRPORT,2006,10,9.3
KNOCK AIRPORT,2006,11,10.1
KNOCK AIRPORT,2006,12,10.9
KNOCK AIRPORT,2007,1,12.4
KNOCK AIRPORT,2007,2,9.6
KNOCK AIRPORT,2007,3,10.5
KNOCK AIRPORT,2007,4,7.8
KNOCK AIRPORT,2007,5,9.1
KNOCK AIRPORT,2007,6,8.0
KNOCK AIRPORT,2007,7,7.8
KNOCK AIRPORT,2007,8,8.8
KNOCK AIRPORT,2007,9,8.3
KNOCK AIRPORT,2007,10,8.3
KNOCK AIRPORT,2007,11,9.4
KNOCK AIRPORT,2007,12,12.6
KNOCK AIRPORT,2008,1,11.8
KNOCK AIRPORT,2008,2,11.5
KNOCK AIRPORT,2008,3,12.5
KNOCK AIRPORT,2008,4,9.9
KNOCK AIRPORT,2008,5,8.8
KNOCK AIRPORT,2008,6,8.9
KNOCK AIRPORT,2008,7,9.3
KNOCK AIRPORT,2008,8,8.8
KNOCK AIRPORT,2008,9,8.6
KNOCK AIRPORT,2008,10,10.8
KNOCK AIRPORT,2008,11,10.1
KNOCK AIRPORT,2008,12,9.5
KNOCK AIRPORT,2009,1,10.8
KNOCK AIRPORT,2009,2,8.3
KNOCK AIRPORT,2009,3,11.4
KNOCK AIRPORT,2009,4,9.4
KNOCK AIRPORT,2009,5,11.0
KNOCK AIRPORT,2009,6,8.1
KNOCK AIRPORT,2009,7,8.9
KNOCK AIRPORT,2009,8,10.4
KNOCK AIRPORT,2009,9,8.8
KNOCK AIRPORT,2009,10,8.8
KNOCK AIRPORT,2009,11,10.9
KNOCK AIRPORT,2009,12,8.6
KNOCK AIRPORT,2010,1,8.5
KNOCK AIRPORT,2010,2,6.8
KNOCK AIRPORT,2010,3,8.8
KNOCK AIRPORT,2010,4,8.1
KNOCK AIRPORT,2010,5,8.2
KNOCK AIRPORT,2010,6,8.1
KNOCK AIRPORT,2010,7,9.5
KNOCK AIRPORT,2010,8,8.5
KNOCK AIRPORT,2010,9,9.2
KNOCK AIRPORT,2010,10,8.9
KNOCK AIRPORT,2010,11,9.0
KNOCK AIRPORT,2010,12,6.7
KNOCK AIRPORT,2011,1,7.7
KNOCK AIRPORT,2011,2,10.0
KNOCK AIRPORT,2011,3,7.3
KNOCK AIRPORT,2011,4,8.8
KNOCK AIRPORT,2011,5,13.8
KNOCK AIRPORT,2011,6,8.6
KNOCK AIRPORT,2011,7,7.5
KNOCK AIRPORT,2011,8,7.5
KNOCK AIRPORT,2011,9,12.3
KNOCK AIRPORT,2011,10,11.3
KNOCK AIRPORT,2011,11,11.8
KNOCK AIRPORT,2011,12,13.1
KNOCK AIRPORT,2012,1,12.4
KNOCK AIRPORT,2012,2,10.7
KNOCK AIRPORT,2012,3,9.6
KNOCK AIRPORT,2012,4,9.2
KNOCK AIRPORT,2012,5,8.4
KNOCK AIRPORT,2012,6,8.5
KNOCK AIRPORT,2012,7,8.0
KNOCK AIRPORT,2012,8,9.1
KNOCK AIRPORT,2012,9,9.7
KNOCK AIRPORT,2012,10,7.6
KNOCK AIRPORT,2012,11,8.6
KNOCK AIRPORT,2012,12,9.9
KNOCK AIRPORT,2013,1,10.1
KNOCK AIRPORT,2013,2,10.3
KNOCK AIRPORT,2013,3,10.3
KNOCK AIRPORT,2013,4,11.5
KNOCK AIRPORT,2013,5,11.1
KNOCK AIRPORT,2013,6,8.4
KNOCK AIRPORT,2013,7,6.7
KNOCK AIRPORT,2013,8,8.5
KNOCK AIRPORT,2013,9,9.4
KNOCK AIRPORT,2013,10,9.3
KNOCK AIRPORT,2013,11,7.8
KNOCK AIRPORT,2013,12,12.3
KNOCK AIRPORT,2014,1,10.8
KNOCK AIRPORT,2014,2,12.5
KNOCK AIRPORT,2014,3,10.1
KNOCK AIRPORT,2014,4,9.1
KNOCK AIRPORT,2014,5,8.6
KNOCK AIRPORT,2014,6,7.1
KNOCK AIRPORT,2014,7,7.6
KNOCK AIRPORT,2014,8,9.3
KNOCK AIRPORT,2014,9,6.1
KNOCK AIRPORT,2014,10,9.9
KNOCK AIRPORT,2014,11,8.0
KNOCK AIRPORT,2014,12,11.0
KNOCK AIRPORT,2015,1,12.6
KNOCK AIRPORT,2015,2,9.5
KNOCK AIRPORT,2015,3,11.6
KNOCK AIRPORT,2015,4,8.3
KNOCK AIRPORT,2015,5,10.9
KNOCK AIRPORT,2015,6,9.1
KNOCK AIRPORT,2015,7,8.9
KNOCK AIRPORT,2015,8,8.2
KNOCK AIRPORT,2015,9,8.3
KNOCK AIRPORT,2015,10,7.7
KNOCK AIRPORT,2015,11,11.0
KNOCK AIRPORT,2015,12,12.6
KNOCK AIRPORT,2016,1,11.2
KNOCK AIRPORT,2016,2,10.8
KNOCK AIRPORT,2016,3,9.5
KNOCK AIRPORT,2016,4,9.3
KNOCK AIRPORT,2016,5,8.2
KNOCK AIRPORT,2016,6,7.6
KNOCK AIRPORT,2016,7,8.2
KNOCK AIRPORT,2016,8,9.3
KNOCK AIRPORT,2016,9,9.3
KNOCK AIRPORT,2016,10,7.9
KNOCK AIRPORT,2016,11,7.0
KNOCK AIRPORT,2016,12,9.5
KNOCK AIRPORT,2017,1,9.4
KNOCK AIRPORT,2017,2,11.3
KNOCK AIRPORT,2017,3,9.7
KNOCK AIRPORT,2017,4,8.6
KNOCK AIRPORT,2017,5,8.3
KNOCK AIRPORT,2017,6,9.9
KNOCK AIRPORT,2017,7,8.0
KNOCK AIRPORT,2017,8,8.3
KNOCK AIRPORT,2017,9,9.6
KNOCK AIRPORT,2017,10,11.0
KNOCK AIRPORT,2017,11,8.5
KNOCK AIRPORT,2017,12,9.7
KNOCK AIRPORT,2018,1,12.1
KNOCK AIRPORT,2018,2,10.0
KNOCK AIRPORT,2018,3,9.8
KNOCK AIRPORT,2018,4,9.7
KNOCK AIRPORT,2018,5,8.8
KNOCK AIRPORT,2018,6,7.2
KNOCK AIRPORT,2018,7,7.4
KNOCK AIRPORT,2018,8,8.2
KNOCK AIRPORT,2018,9,8.7
KNOCK AIRPORT,2018,10,9.4
KNOCK AIRPORT,2018,11,10.9
KNOCK AIRPORT,2018,12,10.4
KNOCK AIRPORT,2019,1,8.9
KNOCK AIRPORT,2019,2,11.4
KNOCK AIRPORT,2019,3,11.1
KNOCK AIRPORT,2019,4,10.3
KNOCK AIRPORT,2019,5,8.0
KNOCK AIRPORT,2019,6,8.8
KNOCK AIRPORT,2019,7,8.1
KNOCK AIRPORT,2019,8,9.1
KNOCK AIRPORT,2019,9,8.7
KNOCK AIRPORT,2019,10,8.9
KNOCK AIRPORT,2019,11,8.2
KNOCK AIRPORT,2019,12,10.6
KNOCK AIRPORT,2020,1,10.4
KNOCK AIRPORT,2020,2,13.6
KNOCK AIRPORT,2020,3,10.3
KNOCK AIRPORT,2020,4,8.2
KNOCK AIRPORT,2020,5,9.2
KNOCK AIRPORT,2020,6,9.4
KNOCK AIRPORT,2020,7,8.8
KNOCK AIRPORT,2020,8,7.7
KNOCK AIRPORT,2020,9,8.6
KNOCK AIRPORT,2020,10,10.2
KNOCK AIRPORT,2020,11,9.5
KNOCK AIRPORT,2020,12,10.0
KNOCK AIRPORT,2021,1,8.2
KNOCK AIRPORT,2021,2,11.9
KNOCK AIRPORT,2021,3,10.0
KNOCK AIRPORT,2021,4,7.9
KNOCK AIRPORT,2021,5,8.4
KNOCK AIRPORT,2021,6,8.3
KNOCK AIRPORT,2021,7,6.1
KNOCK AIRPORT,2021,8,7.5
KNOCK AIRPORT,2021,9,7.1
KNOCK AIRPORT,2021,10,8.5
KNOCK AIRPORT,2021,11,8.9
KNOCK AIRPORT,2021,12,10.2
KNOCK AIRPORT,2022,1,8.8
KNOCK AIRPORT,2022,2,13.5
KNOCK AIRPORT,2022,3,8.8
KNOCK AIRPORT,2022,4,9.1
KNOCK AIRPORT,2022,5,9.3
KNOCK AIRPORT,2022,6,8.8
KNOCK AIRPORT,2022,7,7.4
KNOCK AIRPORT,2022,8,7.1
KNOCK AIRPORT,2022,9,7.8
KNOCK AIRPORT,2022,10,9.8
KNOCK AIRPORT,2022,11,9.9
KNOCK AIRPORT,2022,12,7.5
KNOCK AIRPORT,2023,1,9.6
KNOCK AIRPORT,2023,2,9.7
KNOCK AIRPORT,2023,3,8.8
KNOCK AIRPORT,2023,4,9.0
KNOCK AIRPORT,2023,5,7.4
KNOCK AIRPORT,2023,6,7.3
KNOCK AIRPORT,2023,7,8.8
KNOCK AIRPORT,2023,8,8.7
KNOCK AIRPORT,2023,9,7.8
KNOCK AIRPORT,2023,10,7.9
KNOCK AIRPORT,2023,11,8.7
KNOCK AIRPORT,2023,12,12.1
KNOCK AIRPORT,2024,1,9.3
KNOCK AIRPORT,2024,2,9.4
KNOCK AIRPORT,2024,3,10.0
KNOCK AIRPORT,2024,4,9.6
KNOCK AIRPORT,2024,5,7.5
KNOCK AIRPORT,2024,6,9.0
KNOCK AIRPORT,2024,7,7.7
KNOCK AIRPORT,2024,8,9.5
KNOCK AIRPORT,2024,9,8.3
KNOCK AIRPORT,2024,10,8.5
KNOCK AIRPORT,2024,11,7.8
KNOCK AIRPORT,2024,12,11.1
KNOCK AIRPORT,2025,1,9.4
KNOCK AIRPORT,2025,2,11.7
KNOCK AIRPORT,2025,3,9.0
